店名,菜品,热量(kcal),价格($)
McDonald's,Sausage Burrito,310,3.29
McDonald's,Hash Brown,140,
McDonald's,McDouble,390,3.49
McDonald's,McChicken,390,2.59
McDonald's,6 Piece Chicken McNuggets,250,3.99
McDonald's,Small Fries,230,2.79
McDonald's,Hamburger,250,2.39
McDonald's,Filet-O-Fish,380,5.39
McDonald's,Apple Pie,230,2.29
KFC,Famous Bowl,590,7.19
KFC,4 Piece Cherry Pie Poppers,290,2.99
KFC,Biscuit,180,1.67
KFC,Chicken Little,350,4.67
KFC,Chicken Tender,170,4.67
Chipotle,Honey Chicken Burrito,560,13.15
Chipotle,Steak Burrito,500,14.65
Burgerc King,4 Piece Jslapeno Cheddar Bites,170,2.03
Burgerc King,4 Piece Chessy Tots,150,1.79
Burgerc King,Churro Fries,300,4.67
Burgerc King,Fiery Chicken Fries,260,4.79
Burgerc King,Beacon Chessburger,340,3.89
Burgerc King,Chessburger,290,2.09
Burgerc King,Hamburger,250,1.69
Burgerc King,8 Piece Chicken Fries,220,5.19
Breakfast,Yogurt Bowl,300,0
Breakfast,Bagel (Egg + Bacon),400,0
Breakfast,Latte,120,0
